"Plot Title: GL32_07"
"#","Date Time, GMT-05:00","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)","H08 Temp., °C (LGR S/N: 574445)"
350,06/24/07 03:49:00 AM,29.62,-69.16,24.38
351,06/24/07 03:50:00 AM,29.62,-69.16,24.38
352,06/24/07 03:51:00 AM,29.44,-69.16,24.21
353,06/24/07 03:52:00 AM,29.44,-69.16,24.21
354,06/24/07 03:53:00 AM,29.44,-69.16,24.21
355,06/24/07 03:54:00 AM,29.44,-69.16,24.21
356,06/24/07 03:55:00 AM,29.44,-69.16,24.21
357,06/24/07 03:56:00 AM,29.44,-69.16,24.21
358,06/24/07 03:57:00 AM,29.25,-69.16,24.21
359,06/24/07 03:58:00 AM,29.25,-69.16,24.21
360,06/24/07 03:59:00 AM,29.25,-69.16,24.21
361,06/24/07 04:00:00 AM,29.44,-69.16,24.21
362,06/24/07 04:01:00 AM,29.44,-69.16,24.21
363,06/24/07 04:02:00 AM,29.44,-69.16,24.21
364,06/24/07 04:03:00 AM,29.44,-69.16,24.03
365,06/24/07 04:04:00 AM,29.44,-69.16,24.03
366,06/24/07 04:05:00 AM,29.44,-69.16,24.03
367,06/24/07 04:06:00 AM,29.44,-69.16,24.03
368,06/24/07 04:07:00 AM,29.62,-69.16,24.21
369,06/24/07 04:08:00 AM,29.62,-69.16,24.21
370,06/24/07 04:09:00 AM,29.44,-69.16,24.21
371,06/24/07 04:10:00 AM,29.44,-69.16,24.21
372,06/24/07 04:11:00 AM,29.62,-69.16,24.21
373,06/24/07 04:12:00 AM,29.62,-69.16,24.03
374,06/24/07 04:13:00 AM,29.62,-69.16,24.03
375,06/24/07 04:14:00 AM,29.62,-69.16,24.03
376,06/24/07 04:15:00 AM,29.62,-69.16,24.03
377,06/24/07 04:16:00 AM,29.62,-69.16,24.03
378,06/24/07 04:17:00 AM,29.62,-69.16,24.03
379,06/24/07 04:18:00 AM,29.62,-69.16,24.03
380,06/24/07 04:19:00 AM,29.44,-69.16,24.03
381,06/24/07 04:20:00 AM,29.44,-69.16,24.03
382,06/24/07 04:21:00 AM,29.44,-69.16,24.03
383,06/24/07 04:22:00 AM,29.62,-69.16,24.03
384,06/24/07 04:23:00 AM,29.62,-69.16,24.03
385,06/24/07 04:24:00 AM,29.62,-69.16,24.03
386,06/24/07 04:25:00 AM,29.62,-69.16,24.03
387,06/24/07 04:26:00 AM,29.62,-69.16,24.03
388,06/24/07 04:27:00 AM,29.62,-69.16,24.03
389,06/24/07 04:28:00 AM,29.62,-69.16,24.03
390,06/24/07 04:29:00 AM,29.62,-69.16,24.03
391,06/24/07 04:30:00 AM,29.62,-69.16,24.03
392,06/24/07 04:31:00 AM,29.62,-69.16,24.03
393,06/24/07 04:32:00 AM,29.62,-69.16,24.03
394,06/24/07 04:33:00 AM,29.62,-69.16,24.03
395,06/24/07 04:34:00 AM,29.62,-69.16,24.03
396,06/24/07 04:35:00 AM,29.62,-69.16,24.03
397,06/24/07 04:36:00 AM,29.62,-69.16,23.86
398,06/24/07 04:37:00 AM,29.62,-69.16,23.86
399,06/24/07 04:38:00 AM,29.81,-69.16,24.03
400,06/24/07 04:39:00 AM,29.81,-69.16,24.03
401,06/24/07 04:40:00 AM,29.81,-69.16,24.03
402,06/24/07 04:41:00 AM,29.81,-69.16,24.03
403,06/24/07 04:42:00 AM,29.81,-69.16,24.03
404,06/24/07 04:43:00 AM,29.62,-69.16,24.03
405,06/24/07 04:44:00 AM,29.62,-69.16,24.03
406,06/24/07 04:45:00 AM,29.62,-69.16,24.03
407,06/24/07 04:46:00 AM,29.62,-69.16,24.03
